PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,LastName,SirName,Cabin2
225,1.0,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,1,0,19943,90.0,C93,S,Hoyt,Mr,C
226,0.0,3,"Berglund, Mr. Karl Ivar Sven",male,22.0,0,0,PP 4348,9.35,,S,Berglund,Mr,Z
227,1.0,2,"Mellors, Mr. William John",male,19.0,0,0,SW/PP 751,10.5,,S,Mellors,Mr,Y
228,0.0,3,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,A/5 21173,7.25,,S,Lovell,Mr,Z
229,0.0,2,"Fahlstrom, Mr. Arne Jonas",male,18.0,0,0,236171,13.0,,S,Fahlstrom,Mr,Y
230,0.0,3,"Lefebre, Miss. Mathilde",female,21.774238095238097,3,1,4133,25.4667,,S,Lefebre,Miss,Z
231,1.0,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,1,0,36973,83.475,C83,S,Harris,Mrs,C
232,0.0,3,"Larsson, Mr. Bengt Edvin",male,29.0,0,0,347067,7.775,,S,Larsson,Mr,Z
233,0.0,2,"Sjostedt, Mr. Ernst Adolf",male,59.0,0,0,237442,13.5,,S,Sjostedt,Mr,Y
234,1.0,3,"Asplund, Miss. Lillian Gertrud",female,5.0,4,2,347077,31.3875,,S,Asplund,Miss,Z
235,0.0,2,"Leyson, Mr. Robert William Norman",male,24.0,0,0,C.A. 29566,10.5,,S,Leyson,Mr,Y
236,0.0,3,"Harknett, Miss. Alice Phoebe",female,21.774238095238097,0,0,W./C. 6609,7.55,,S,Harknett,Miss,Z
237,0.0,2,"Hold, Mr. Stephen",male,44.0,1,0,26707,26.0,,S,Hold,Mr,Y
238,1.0,2,"Collyer, Miss. Marjorie ""Lottie""",female,8.0,0,2,C.A. 31921,26.25,,S,Collyer,Miss,Y
239,0.0,2,"Pengelly, Mr. Frederick William",male,19.0,0,0,28665,10.5,,S,Pengelly,Mr,Y
240,0.0,2,"Hunt, Mr. George Henry",male,33.0,0,0,SCO/W 1585,12.275,,S,Hunt,Mr,Y
241,0.0,3,"Zabour, Miss. Thamine",female,21.774238095238097,1,0,2665,14.4542,,C,Zabour,Miss,Z
242,1.0,3,"Murphy, Miss. Katherine ""Kate""",female,21.774238095238097,1,0,367230,15.5,,Q,Murphy,Miss,Z
243,0.0,2,"Coleridge, Mr. Reginald Charles",male,29.0,0,0,W./C. 14263,10.5,,S,Coleridge,Mr,Y
244,0.0,3,"Maenpaa, Mr. Matti Alexanteri",male,22.0,0,0,STON/O 2. 3101275,7.125,,S,Maenpaa,Mr,Z
245,0.0,3,"Attalah, Mr. Sleiman",male,30.0,0,0,2694,7.225,,C,Attalah,Mr,Z
246,0.0,1,"Minahan, Dr. William Edward",male,44.0,2,0,19928,90.0,C78,Q,Minahan,Dr,C
247,0.0,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.0,0,0,347071,7.775,,S,Lindahl,Miss,Z
248,1.0,2,"Hamalainen, Mrs. William (Anna)",female,24.0,0,2,250649,14.5,,S,Hamalainen,Mrs,Y
249,1.0,1,"Beckwith, Mr. Richard Leonard",male,37.0,1,1,11751,52.5542,D35,S,Beckwith,Mr,D
250,0.0,2,"Carter, Rev. Ernest Courtenay",male,54.0,1,0,244252,26.0,,S,Carter,Rev,Y
251,0.0,3,"Reed, Mr. James George",male,32.25215146299484,0,0,362316,7.25,,S,Reed,Mr,Z
252,0.0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.0,1,1,347054,10.4625,G6,S,Strom,Mrs,G
253,0.0,1,"Stead, Mr. William Thomas",male,62.0,0,0,113514,26.55,C87,S,Stead,Mr,C
254,0.0,3,"Lobb, Mr. William Arthur",male,30.0,1,0,A/5. 3336,16.1,,S,Lobb,Mr,Z
255,0.0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0,0,2,370129,20.2125,,S,Rosblom,Mrs,Z
256,1.0,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.0,0,2,2650,15.2458,,C,Touma,Mrs,Z
257,1.0,1,"Thorne, Mrs. Gertrude Maybelle",female,36.99411764705882,0,0,PC 17585,79.2,,C,Thorne,Mrs,X
258,1.0,1,"Cherry, Miss. Gladys",female,30.0,0,0,110152,86.5,B77,S,Cherry,Miss,B
259,1.0,1,"Ward, Miss. Anna",female,35.0,0,0,PC 17755,512.3292,,C,Ward,Miss,X
260,1.0,2,"Parrish, Mrs. (Lutie Davis)",female,50.0,0,1,230433,26.0,,S,Parrish,Mrs,Y
261,0.0,3,"Smith, Mr. Thomas",male,32.25215146299484,0,0,384461,7.75,,Q,Smith,Mr,Z
262,1.0,3,"Asplund, Master. Edvin Rojj Felix",male,3.0,4,2,347077,31.3875,,S,Asplund,Master,Z
263,0.0,1,"Taussig, Mr. Emil",male,52.0,1,1,110413,79.65,E67,S,Taussig,Mr,E
264,0.0,1,"Harrison, Mr. William",male,40.0,0,0,112059,0.0,B94,S,Harrison,Mr,B
265,0.0,3,"Henry, Miss. Delia",female,21.774238095238097,0,0,382649,7.75,,Q,Henry,Miss,Z
266,0.0,2,"Reeves, Mr. David",male,36.0,0,0,C.A. 17248,10.5,,S,Reeves,Mr,Y
267,0.0,3,"Panula, Mr. Ernesti Arvid",male,16.0,4,1,3101295,39.6875,,S,Panula,Mr,Z
268,1.0,3,"Persson, Mr. Ernst Ulrik",male,25.0,1,0,347083,7.775,,S,Persson,Mr,Z
269,1.0,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,0,1,PC 17582,153.4625,C125,S,Graham,Mrs,C
270,1.0,1,"Bissette, Miss. Amelia",female,35.0,0,0,PC 17760,135.6333,C99,S,Bissette,Miss,C
271,0.0,1,"Cairns, Mr. Alexander",male,32.25215146299484,0,0,113798,31.0,,S,Cairns,Mr,X
272,1.0,3,"Tornquist, Mr. William Henry",male,25.0,0,0,LINE,0.0,,S,Tornquist,Mr,Z
273,1.0,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.0,0,1,250644,19.5,,S,Mellinger,Mrs,Y
274,0.0,1,"Natsch, Mr. Charles H",male,37.0,0,1,PC 17596,29.7,C118,C,Natsch,Mr,C
275,1.0,3,"Healy, Miss. Hanora ""Nora""",female,21.774238095238097,0,0,370375,7.75,,Q,Healy,Miss,Z
276,1.0,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,1,0,13502,77.9583,D7,S,Andrews,Miss,D
277,0.0,3,"Lindblom, Miss. Augusta Charlotta",female,45.0,0,0,347073,7.75,,S,Lindblom,Miss,Z
278,0.0,2,"Parkes, Mr. Francis ""Frank""",male,32.25215146299484,0,0,239853,0.0,,S,Parkes,Mr,Y
279,0.0,3,"Rice, Master. Eric",male,7.0,4,1,382652,29.125,,Q,Rice,Master,Z
280,1.0,3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35.0,1,1,C.A. 2673,20.25,,S,Abbott,Mrs,Z
281,0.0,3,"Duane, Mr. Frank",male,65.0,0,0,336439,7.75,,Q,Duane,Mr,Z
282,0.0,3,"Olsson, Mr. Nils Johan Goransson",male,28.0,0,0,347464,7.8542,,S,Olsson,Mr,Z
283,0.0,3,"de Pelsmaeker, Mr. Alfons",male,16.0,0,0,345778,9.5,,S,de,Mr,Z
284,1.0,3,"Dorking, Mr. Edward Arthur",male,19.0,0,0,A/5. 10482,8.05,,S,Dorking,Mr,Z
285,0.0,1,"Smith, Mr. Richard William",male,32.25215146299484,0,0,113056,26.0,A19,S,Smith,Mr,A
286,0.0,3,"Stankovic, Mr. Ivan",male,33.0,0,0,349239,8.6625,,C,Stankovic,Mr,Z
287,1.0,3,"de Mulder, Mr. Theodore",male,30.0,0,0,345774,9.5,,S,de,Mr,Z
288,0.0,3,"Naidenoff, Mr. Penko",male,22.0,0,0,349206,7.8958,,S,Naidenoff,Mr,Z
289,1.0,2,"Hosono, Mr. Masabumi",male,42.0,0,0,237798,13.0,,S,Hosono,Mr,Y
290,1.0,3,"Connolly, Miss. Kate",female,22.0,0,0,370373,7.75,,Q,Connolly,Miss,Z
291,1.0,1,"Barber, Miss. Ellen ""Nellie""",female,26.0,0,0,19877,78.85,,S,Barber,Miss,X
292,1.0,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,1,0,11967,91.0792,B49,C,Bishop,Mrs,B
293,0.0,2,"Levy, Mr. Rene Jacques",male,36.0,0,0,SC/Paris 2163,12.875,D,C,Levy,Mr,D
294,0.0,3,"Haas, Miss. Aloisia",female,24.0,0,0,349236,8.85,,S,Haas,Miss,Z
295,0.0,3,"Mineff, Mr. Ivan",male,24.0,0,0,349233,7.8958,,S,Mineff,Mr,Z
296,0.0,1,"Lewy, Mr. Ervin G",male,32.25215146299484,0,0,PC 17612,27.7208,,C,Lewy,Mr,X
297,0.0,3,"Hanna, Mr. Mansour",male,23.5,0,0,2693,7.2292,,C,Hanna,Mr,Z
298,0.0,1,"Allison, Miss. Helen Loraine",female,2.0,1,2,113781,151.55,C22 C26,S,Allison,Miss,C
299,1.0,1,"Saalfeld, Mr. Adolphe",male,32.25215146299484,0,0,19988,30.5,C106,S,Saalfeld,Mr,C
300,1.0,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,0,1,PC 17558,247.5208,B58 B60,C,Baxter,Mrs,B
301,1.0,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,21.774238095238097,0,0,9234,7.75,,Q,Kelly,Miss,Z
302,1.0,3,"McCoy, Mr. Bernard",male,32.25215146299484,2,0,367226,23.25,,Q,McCoy,Mr,Z
303,0.0,3,"Johnson, Mr. William Cahoone Jr",male,19.0,0,0,LINE,0.0,,S,Johnson,Mr,Z
304,1.0,2,"Keane, Miss. Nora A",female,21.774238095238097,0,0,226593,12.35,E101,Q,Keane,Miss,E
305,0.0,3,"Williams, Mr. Howard Hugh ""Harry""",male,32.25215146299484,0,0,A/5 2466,8.05,,S,Williams,Mr,Z
306,1.0,1,"Allison, Master. Hudson Trevor",male,0.92,1,2,113781,151.55,C22 C26,S,Allison,Master,C
307,1.0,1,"Fleming, Miss. Margaret",female,21.774238095238097,0,0,17421,110.8833,,C,Fleming,Miss,X
308,1.0,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0,1,0,PC 17758,108.9,C65,C,Penasco,Mrs,C
309,0.0,2,"Abelson, Mr. Samuel",male,30.0,1,0,P/PP 3381,24.0,,C,Abelson,Mr,Y
310,1.0,1,"Francatelli, Miss. Laura Mabel",female,30.0,0,0,PC 17485,56.9292,E36,C,Francatelli,Miss,E
311,1.0,1,"Hays, Miss. Margaret Bechstein",female,24.0,0,0,11767,83.1583,C54,C,Hays,Miss,C
312,1.0,1,"Ryerson, Miss. Emily Borie",female,18.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C,Ryerson,Miss,B
313,0.0,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,26.0,1,1,250651,26.0,,S,Lahtinen,Mrs,Y
314,0.0,3,"Hendekovic, Mr. Ignjac",male,28.0,0,0,349243,7.8958,,S,Hendekovic,Mr,Z
315,0.0,2,"Hart, Mr. Benjamin",male,43.0,1,1,F.C.C. 13529,26.25,,S,Hart,Mr,Y
316,1.0,3,"Nilsson, Miss. Helmina Josefina",female,26.0,0,0,347470,7.8542,,S,Nilsson,Miss,Z
317,1.0,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24.0,1,0,244367,26.0,,S,Kantor,Mrs,Y
318,0.0,2,"Moraweck, Dr. Ernest",male,54.0,0,0,29011,14.0,,S,Moraweck,Dr,Y
319,1.0,1,"Wick, Miss. Mary Natalie",female,31.0,0,2,36928,164.8667,C7,S,Wick,Miss,C
320,1.0,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0,1,1,16966,134.5,E34,C,Spedden,Mrs,E
321,0.0,3,"Dennis, Mr. Samuel",male,22.0,0,0,A/5 21172,7.25,,S,Dennis,Mr,Z
322,0.0,3,"Danoff, Mr. Yoto",male,27.0,0,0,349219,7.8958,,S,Danoff,Mr,Z
323,1.0,2,"Slayter, Miss. Hilda Mary",female,30.0,0,0,234818,12.35,,Q,Slayter,Miss,Y
324,1.0,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0,1,1,248738,29.0,,S,Caldwell,Mrs,Y
325,0.0,3,"Sage, Mr. George John Jr",male,32.25215146299484,8,2,CA. 2343,69.55,,S,Sage,Mr,Z
326,1.0,1,"Young, Miss. Marie Grice",female,36.0,0,0,PC 17760,135.6333,C32,C,Young,Miss,C
327,0.0,3,"Nysveen, Mr. Johan Hansen",male,61.0,0,0,345364,6.2375,,S,Nysveen,Mr,Z
328,1.0,2,"Ball, Mrs. (Ada E Hall)",female,36.0,0,0,28551,13.0,D,S,Ball,Mrs,D
329,1.0,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31.0,1,1,363291,20.525,,S,Goldsmith,Mrs,Z
330,1.0,1,"Hippach, Miss. Jean Gertrude",female,16.0,0,1,111361,57.9792,B18,C,Hippach,Miss,B
331,1.0,3,"McCoy, Miss. Agnes",female,21.774238095238097,2,0,367226,23.25,,Q,McCoy,Miss,Z
332,0.0,1,"Partner, Mr. Austen",male,45.5,0,0,113043,28.5,C124,S,Partner,Mr,C
333,0.0,1,"Graham, Mr. George Edward",male,38.0,0,1,PC 17582,153.4625,C91,S,Graham,Mr,C
334,0.0,3,"Vander Planke, Mr. Leo Edmondus",male,16.0,2,0,345764,18.0,,S,Vander,Mr,Z
335,1.0,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,36.99411764705882,1,0,PC 17611,133.65,,S,Frauenthal,Mrs,X
336,0.0,3,"Denkoff, Mr. Mitto",male,32.25215146299484,0,0,349225,7.8958,,S,Denkoff,Mr,Z
337,0.0,1,"Pears, Mr. Thomas Clinton",male,29.0,1,0,113776,66.6,C2,S,Pears,Mr,C
338,1.0,1,"Burns, Miss. Elizabeth Margaret",female,41.0,0,0,16966,134.5,E40,C,Burns,Miss,E
339,1.0,3,"Dahl, Mr. Karl Edwart",male,45.0,0,0,7598,8.05,,S,Dahl,Mr,Z
340,0.0,1,"Blackwell, Mr. Stephen Weart",male,45.0,0,0,113784,35.5,T,S,Blackwell,Mr,T
341,1.0,2,"Navratil, Master. Edmond Roger",male,2.0,1,1,230080,26.0,F2,S,Navratil,Master,F
342,1.0,1,"Fortune, Miss. Alice Elizabeth",female,24.0,3,2,19950,263.0,C23 C25 C27,S,Fortune,Miss,C
343,0.0,2,"Collander, Mr. Erik Gustaf",male,28.0,0,0,248740,13.0,,S,Collander,Mr,Y
344,0.0,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25.0,0,0,244361,13.0,,S,Sedgwick,Mr,Y
345,0.0,2,"Fox, Mr. Stanley Hubert",male,36.0,0,0,229236,13.0,,S,Fox,Mr,Y
346,1.0,2,"Brown, Miss. Amelia ""Mildred""",female,24.0,0,0,248733,13.0,F33,S,Brown,Miss,F
347,1.0,2,"Smith, Miss. Marion Elsie",female,40.0,0,0,31418,13.0,,S,Smith,Miss,Y
348,1.0,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,36.99411764705882,1,0,386525,16.1,,S,Davison,Mrs,Z
349,1.0,3,"Coutts, Master. William Loch ""William""",male,3.0,1,1,C.A. 37671,15.9,,S,Coutts,Master,Z
350,0.0,3,"Dimic, Mr. Jovan",male,42.0,0,0,315088,8.6625,,S,Dimic,Mr,Z
351,0.0,3,"Odahl, Mr. Nils Martin",male,23.0,0,0,7267,9.225,,S,Odahl,Mr,Z
352,0.0,1,"Williams-Lambert, Mr. Fletcher Fellows",male,32.25215146299484,0,0,113510,35.0,C128,S,Williams,Mr,C
353,0.0,3,"Elias, Mr. Tannous",male,15.0,1,1,2695,7.2292,,C,Elias,Mr,Z
354,0.0,3,"Arnold-Franchi, Mr. Josef",male,25.0,1,0,349237,17.8,,S,Arnold,Mr,Z
355,0.0,3,"Yousif, Mr. Wazli",male,32.25215146299484,0,0,2647,7.225,,C,Yousif,Mr,Z
356,0.0,3,"Vanden Steen, Mr. Leo Peter",male,28.0,0,0,345783,9.5,,S,Vanden,Mr,Z
357,1.0,1,"Bowerman, Miss. Elsie Edith",female,22.0,0,1,113505,55.0,E33,S,Bowerman,Miss,E
358,0.0,2,"Funk, Miss. Annie Clemmer",female,38.0,0,0,237671,13.0,,S,Funk,Miss,Y
359,1.0,3,"McGovern, Miss. Mary",female,21.774238095238097,0,0,330931,7.8792,,Q,McGovern,Miss,Z
360,1.0,3,"Mockler, Miss. Helen Mary ""Ellie""",female,21.774238095238097,0,0,330980,7.8792,,Q,Mockler,Miss,Z
361,0.0,3,"Skoog, Mr. Wilhelm",male,40.0,1,4,347088,27.9,,S,Skoog,Mr,Z
362,0.0,2,"del Carlo, Mr. Sebastiano",male,29.0,1,0,SC/PARIS 2167,27.7208,,C,del,Mr,Y
363,0.0,3,"Barbara, Mrs. (Catherine David)",female,45.0,0,1,2691,14.4542,,C,Barbara,Mrs,Z
364,0.0,3,"Asim, Mr. Adola",male,35.0,0,0,SOTON/O.Q. 3101310,7.05,,S,Asim,Mr,Z
365,0.0,3,"O'Brien, Mr. Thomas",male,32.25215146299484,1,0,370365,15.5,,Q,O,Mr,Z
366,0.0,3,"Adahl, Mr. Mauritz Nils Martin",male,30.0,0,0,C 7076,7.25,,S,Adahl,Mr,Z
367,1.0,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.0,1,0,110813,75.25,D37,C,Warren,Mrs,D
368,1.0,3,"Moussa, Mrs. (Mantoura Boulos)",female,36.99411764705882,0,0,2626,7.2292,,C,Moussa,Mrs,Z
369,1.0,3,"Jermyn, Miss. Annie",female,21.774238095238097,0,0,14313,7.75,,Q,Jermyn,Miss,Z
370,1.0,1,"Aubart, Mme. Leontine Pauline",female,24.0,0,0,PC 17477,69.3,B35,C,Aubart,Mme,B
371,1.0,1,"Harder, Mr. George Achilles",male,25.0,1,0,11765,55.4417,E50,C,Harder,Mr,E
372,0.0,3,"Wiklund, Mr. Jakob Alfred",male,18.0,1,0,3101267,6.4958,,S,Wiklund,Mr,Z
373,0.0,3,"Beavan, Mr. William Thomas",male,19.0,0,0,323951,8.05,,S,Beavan,Mr,Z
374,0.0,1,"Ringhini, Mr. Sante",male,22.0,0,0,PC 17760,135.6333,,C,Ringhini,Mr,X
375,0.0,3,"Palsson, Miss. Stina Viola",female,3.0,3,1,349909,21.075,,S,Palsson,Miss,Z
376,1.0,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,36.99411764705882,1,0,PC 17604,82.1708,,C,Meyer,Mrs,X
377,1.0,3,"Landergren, Miss. Aurora Adelia",female,22.0,0,0,C 7077,7.25,,S,Landergren,Miss,Z
378,0.0,1,"Widener, Mr. Harry Elkins",male,27.0,0,2,113503,211.5,C82,C,Widener,Mr,C
379,0.0,3,"Betros, Mr. Tannous",male,20.0,0,0,2648,4.0125,,C,Betros,Mr,Z
380,0.0,3,"Gustafsson, Mr. Karl Gideon",male,19.0,0,0,347069,7.775,,S,Gustafsson,Mr,Z
381,1.0,1,"Bidois, Miss. Rosalie",female,42.0,0,0,PC 17757,227.525,,C,Bidois,Miss,X
382,1.0,3,"Nakid, Miss. Maria (""Mary"")",female,1.0,0,2,2653,15.7417,,C,Nakid,Miss,Z
383,0.0,3,"Tikkanen, Mr. Juho",male,32.0,0,0,STON/O 2. 3101293,7.925,,S,Tikkanen,Mr,Z
384,1.0,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.0,1,0,113789,52.0,,S,Holverson,Mrs,X
385,0.0,3,"Plotcharsky, Mr. Vasil",male,32.25215146299484,0,0,349227,7.8958,,S,Plotcharsky,Mr,Z
386,0.0,2,"Davies, Mr. Charles Henry",male,18.0,0,0,S.O.C. 14879,73.5,,S,Davies,Mr,Y
387,0.0,3,"Goodwin, Master. Sidney Leonard",male,1.0,5,2,CA 2144,46.9,,S,Goodwin,Master,Z
388,1.0,2,"Buss, Miss. Kate",female,36.0,0,0,27849,13.0,,S,Buss,Miss,Y
389,0.0,3,"Sadlier, Mr. Matthew",male,32.25215146299484,0,0,367655,7.7292,,Q,Sadlier,Mr,Z
390,1.0,2,"Lehmann, Miss. Bertha",female,17.0,0,0,SC 1748,12.0,,C,Lehmann,Miss,Y
391,1.0,1,"Carter, Mr. William Ernest",male,36.0,1,2,113760,120.0,B96 B98,S,Carter,Mr,B
392,1.0,3,"Jansson, Mr. Carl Olof",male,21.0,0,0,350034,7.7958,,S,Jansson,Mr,Z
393,0.0,3,"Gustafsson, Mr. Johan Birger",male,28.0,2,0,3101277,7.925,,S,Gustafsson,Mr,Z
394,1.0,1,"Newell, Miss. Marjorie",female,23.0,1,0,35273,113.275,D36,C,Newell,Miss,D
395,1.0,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24.0,0,2,PP 9549,16.7,G6,S,Sandstrom,Mrs,G
396,0.0,3,"Johansson, Mr. Erik",male,22.0,0,0,350052,7.7958,,S,Johansson,Mr,Z
397,0.0,3,"Olsson, Miss. Elina",female,31.0,0,0,350407,7.8542,,S,Olsson,Miss,Z
398,0.0,2,"McKane, Mr. Peter David",male,46.0,0,0,28403,26.0,,S,McKane,Mr,Y
399,0.0,2,"Pain, Dr. Alfred",male,23.0,0,0,244278,10.5,,S,Pain,Dr,Y
400,1.0,2,"Trout, Mrs. William H (Jessie L)",female,28.0,0,0,240929,12.65,,S,Trout,Mrs,Y
401,1.0,3,"Niskanen, Mr. Juha",male,39.0,0,0,STON/O 2. 3101289,7.925,,S,Niskanen,Mr,Z
402,0.0,3,"Adams, Mr. John",male,26.0,0,0,341826,8.05,,S,Adams,Mr,Z
403,0.0,3,"Jussila, Miss. Mari Aina",female,21.0,1,0,4137,9.825,,S,Jussila,Miss,Z
404,0.0,3,"Hakkarainen, Mr. Pekka Pietari",male,28.0,1,0,STON/O2. 3101279,15.85,,S,Hakkarainen,Mr,Z
405,0.0,3,"Oreskovic, Miss. Marija",female,20.0,0,0,315096,8.6625,,S,Oreskovic,Miss,Z
406,0.0,2,"Gale, Mr. Shadrach",male,34.0,1,0,28664,21.0,,S,Gale,Mr,Y
407,0.0,3,"Widegren, Mr. Carl/Charles Peter",male,51.0,0,0,347064,7.75,,S,Widegren,Mr,Z
408,1.0,2,"Richards, Master. William Rowe",male,3.0,1,1,29106,18.75,,S,Richards,Master,Y
409,0.0,3,"Birkeland, Mr. Hans Martin Monsen",male,21.0,0,0,312992,7.775,,S,Birkeland,Mr,Z
410,0.0,3,"Lefebre, Miss. Ida",female,21.774238095238097,3,1,4133,25.4667,,S,Lefebre,Miss,Z
411,0.0,3,"Sdycoff, Mr. Todor",male,32.25215146299484,0,0,349222,7.8958,,S,Sdycoff,Mr,Z
412,0.0,3,"Hart, Mr. Henry",male,32.25215146299484,0,0,394140,6.8583,,Q,Hart,Mr,Z
413,1.0,1,"Minahan, Miss. Daisy E",female,33.0,1,0,19928,90.0,C78,Q,Minahan,Miss,C
414,0.0,2,"Cunningham, Mr. Alfred Fleming",male,32.25215146299484,0,0,239853,0.0,,S,Cunningham,Mr,Y
415,1.0,3,"Sundman, Mr. Johan Julian",male,44.0,0,0,STON/O 2. 3101269,7.925,,S,Sundman,Mr,Z
416,0.0,3,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,36.99411764705882,0,0,343095,8.05,,S,Meek,Mrs,Z
417,1.0,2,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34.0,1,1,28220,32.5,,S,Drew,Mrs,Y
418,1.0,2,"Silven, Miss. Lyyli Karoliina",female,18.0,0,2,250652,13.0,,S,Silven,Miss,Y
419,0.0,2,"Matthews, Mr. William John",male,30.0,0,0,28228,13.0,,S,Matthews,Mr,Y
420,0.0,3,"Van Impe, Miss. Catharina",female,10.0,0,2,345773,24.15,,S,Van,Miss,Z
421,0.0,3,"Gheorgheff, Mr. Stanio",male,32.25215146299484,0,0,349254,7.8958,,C,Gheorgheff,Mr,Z
422,0.0,3,"Charters, Mr. David",male,21.0,0,0,A/5. 13032,7.7333,,Q,Charters,Mr,Z
423,0.0,3,"Zimmerman, Mr. Leo",male,29.0,0,0,315082,7.875,,S,Zimmerman,Mr,Z
424,0.0,3,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28.0,1,1,347080,14.4,,S,Danbom,Mrs,Z
425,0.0,3,"Rosblom, Mr. Viktor Richard",male,18.0,1,1,370129,20.2125,,S,Rosblom,Mr,Z
426,0.0,3,"Wiseman, Mr. Phillippe",male,32.25215146299484,0,0,A/4. 34244,7.25,,S,Wiseman,Mr,Z
427,1.0,2,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28.0,1,0,2003,26.0,,S,Clarke,Mrs,Y
428,1.0,2,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,19.0,0,0,250655,26.0,,S,Phillips,Miss,Y
429,0.0,3,"Flynn, Mr. James",male,32.25215146299484,0,0,364851,7.75,,Q,Flynn,Mr,Z
430,1.0,3,"Pickard, Mr. Berk (Berk Trembisky)",male,32.0,0,0,SOTON/O.Q. 392078,8.05,E10,S,Pickard,Mr,E
431,1.0,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,0,0,110564,26.55,C52,S,Bjornstrom,Mr,C
432,1.0,3,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,36.99411764705882,1,0,376564,16.1,,S,Thorneycroft,Mrs,Z
433,1.0,2,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42.0,1,0,SC/AH 3085,26.0,,S,Louch,Mrs,Y
434,0.0,3,"Kallio, Mr. Nikolai Erland",male,17.0,0,0,STON/O 2. 3101274,7.125,,S,Kallio,Mr,Z
435,0.0,1,"Silvey, Mr. William Baird",male,50.0,1,0,13507,55.9,E44,S,Silvey,Mr,E
436,1.0,1,"Carter, Miss. Lucile Polk",female,14.0,1,2,113760,120.0,B96 B98,S,Carter,Miss,B
437,0.0,3,"Ford, Miss. Doolina Margaret ""Daisy""",female,21.0,2,2,W./C. 6608,34.375,,S,Ford,Miss,Z
438,1.0,2,"Richards, Mrs. Sidney (Emily Hocking)",female,24.0,2,3,29106,18.75,,S,Richards,Mrs,Y
439,0.0,1,"Fortune, Mr. Mark",male,64.0,1,4,19950,263.0,C23 C25 C27,S,Fortune,Mr,C
440,0.0,2,"Kvillner, Mr. Johan Henrik Johannesson",male,31.0,0,0,C.A. 18723,10.5,,S,Kvillner,Mr,Y
441,1.0,2,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45.0,1,1,F.C.C. 13529,26.25,,S,Hart,Mrs,Y
442,0.0,3,"Hampe, Mr. Leon",male,20.0,0,0,345769,9.5,,S,Hampe,Mr,Z
443,0.0,3,"Petterson, Mr. Johan Emil",male,25.0,1,0,347076,7.775,,S,Petterson,Mr,Z
444,1.0,2,"Reynaldo, Ms. Encarnacion",female,28.0,0,0,230434,13.0,,S,Reynaldo,Ms,Y
445,1.0,3,"Johannesen-Bratthammer, Mr. Bernt",male,32.25215146299484,0,0,65306,8.1125,,S,Johannesen,Mr,Z
446,1.0,1,"Dodge, Master. Washington",male,4.0,0,2,33638,81.8583,A34,S,Dodge,Master,A
447,1.0,2,"Mellinger, Miss. Madeleine Violet",female,13.0,0,1,250644,19.5,,S,Mellinger,Miss,Y
448,1.0,1,"Seward, Mr. Frederic Kimber",male,34.0,0,0,113794,26.55,,S,Seward,Mr,X
